127.0.0.1 - - [10/Nov/2020:15:29:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Nov/2020:15:29:31 +0530] "GET /proj7-MarriageApp-formvalidationserverside/ HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [10/Nov/2020:15:29:31 +0530] "GET /proj7-MarriageApp-formvalidationserverside/images/marriage.jpg HTTP/1.1" 200 15897
0:0:0:0:0:0:0:1 - - [10/Nov/2020:15:29:31 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Nov/2020:15:29:34 +0530] "GET /proj7-MarriageApp-formvalidationserverside/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2020:15:29:43 +0530] "POST /proj7-MarriageApp-formvalidationserverside/marriageurl HTTP/1.1" 500 1355
0:0:0:0:0:0:0:1 - - [10/Nov/2020:15:29:54 +0530] "POST /proj7-MarriageApp-formvalidationserverside/marriageurl HTTP/1.1" 500 1355
0:0:0:0:0:0:0:1 - - [10/Nov/2020:15:30:03 +0530] "POST /proj7-MarriageApp-formvalidationserverside/marriageurl HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [10/Nov/2020:15:30:03 +0530] "GET /proj7-MarriageApp-formvalidationserverside/images/home.png HTTP/1.1" 200 1927
0:0:0:0:0:0:0:1 - - [10/Nov/2020:15:30:14 +0530] "POST /proj7-MarriageApp-formvalidationserverside/marriageurl HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [10/Nov/2020:15:30:23 +0530] "GET /proj7-MarriageApp-formvalidationserverside/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2020:15:31:08 +0530] "POST /proj7-MarriageApp-formvalidationserverside/marriageurl HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [10/Nov/2020:15:32:12 +0530] "GET /proj7-MarriageApp-formvalidationserverside/marriageurl HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [10/Nov/2020:15:32:32 +0530] "POST /proj7-MarriageApp-formvalidationserverside/marriageurl HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [10/Nov/2020:15:32:39 +0530] "GET /proj7-MarriageApp-formvalidationserverside/input.html HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [10/Nov/2020:15:34:48 +0530] "POST /proj7-MarriageApp-formvalidationserverside/marriageurl HTTP/1.1" 500 1355
0:0:0:0:0:0:0:1 - - [10/Nov/2020:15:35:12 +0530] "POST /proj7-MarriageApp-formvalidationserverside/marriageurl HTTP/1.1" 500 1373
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:01:21 +0530] "GET /proj7-MarriageApp-formvalidationserverside/input.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:01:22 +0530] "GET /proj7-MarriageApp-formvalidationserverside/input.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:01:22 +0530] "GET /proj7-MarriageApp-formvalidationserverside/input.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:01:23 +0530] "GET /proj7-MarriageApp-formvalidationserverside/input.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:01:39 +0530] "POST /proj7-MarriageApp-formvalidationserverside/marriageurl HTTP/1.1" 500 1505
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:02:32 +0530] "GET /proj7-MarriageApp-formvalidationserverside/input.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:02:33 +0530] "GET /proj7-MarriageApp-formvalidationserverside/input.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:02:33 +0530] "GET /proj7-MarriageApp-formvalidationserverside/input.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:02:33 +0530] "GET /proj7-MarriageApp-formvalidationserverside/input.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:02:34 +0530] "GET /proj7-MarriageApp-formvalidationserverside/input.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:03:58 +0530] "GET /proj7-MarriageApp-formvalidationserverside/input.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:03:58 +0530] "GET /proj7-MarriageApp-formvalidationserverside/input.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:04:13 +0530] "POST /proj7-MarriageApp-formvalidationserverside/marriageurl HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:04:28 +0530] "POST /proj7-MarriageApp-formvalidationserverside/marriageurl HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:04:38 +0530] "POST /proj7-MarriageApp-formvalidationserverside/marriageurl HTTP/1.1" 200 67
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:04:45 +0530] "POST /proj7-MarriageApp-formvalidationserverside/marriageurl HTTP/1.1" 200 135
